Date,Close,High,Low,Open,Volume
2011-10-20,5.220516681671143,5.23514596693774,5.166179592646232,5.2246961357935735,296700
2011-10-21,5.322921276092529,5.322921276092529,5.2748539590057675,5.29366270119828,566400
2011-10-24,5.352179050445557,5.43159406000179,5.325010206987726,5.43159406000179,889800
2011-10-25,5.264404773712158,5.333371158931591,5.26231504631982,5.333371158931591,283200
2011-10-26,5.318740367889404,5.341729756967645,5.247684865294278,5.341729756967645,135000
2011-10-27,5.439953327178955,5.467121568538085,5.391886024676605,5.442043053917591,818100
2011-10-28,5.435773849487305,5.4462236801212915,5.412785059179156,5.4462236801212915,280500
2011-10-31,5.329188823699951,5.398154581461741,5.329188823699951,5.387705351056384,731400
2011-11-01,5.207976341247559,5.26649227096887,5.197526512872645,5.26649227096887,852900
2011-11-02,5.276943206787109,5.333370019761866,5.241414859110256,5.299931399031001,970800
2011-11-03,5.360538959503174,5.368897868371938,5.276943891624637,5.360538959503174,1599600
2011-11-04,5.337549209594727,5.339639534356314,5.279032672568911,5.337549209594727,327000
2011-11-07,5.368897914886475,5.375167694511457,5.293662353143973,5.345909719460031,672000
2011-11-08,5.435773849487305,5.439953901324703,5.358448570726094,5.406515280382568,1395600
2011-11-09,5.272763729095459,5.352179340880204,5.256044715869099,5.3479992886140755,1996500
2011-11-10,5.325010776519775,5.347999570397055,5.281123513967957,5.341730388546158,549300
2011-11-11,5.423232555389404,5.433682382677384,5.385615090492916,5.385615090492916,397500
2011-11-14,5.385615348815918,5.41696363634584,5.368895743936953,5.41696363634584,668100
2011-11-15,5.4065165519714355,5.4315950751371345,5.366809338731781,5.377258573904366,435300
2011-11-16,5.327098846435547,5.419053385095573,5.325008522117769,5.373075816806132,310200
2011-11-17,5.262314319610596,5.3417299287438125,5.235146073504625,5.335460149513494,771900
2011-11-18,5.283212661743164,5.302021398942317,5.262313599807125,5.302021398942317,591600
2011-11-21,5.1849870681762695,5.245593316622886,5.145279278675867,5.245593316622886,881700
2011-11-22,5.16618013381958,5.1996181619779405,5.147371392460279,5.182899745817868,451200
2011-11-23,5.0763139724731445,5.136919628318595,5.0763139724731445,5.136919628318595,464700
2011-11-25,5.067955493927002,5.113933079039607,5.067955493927002,5.072135546173181,159300
2011-11-28,5.187078952789307,5.207978618678486,5.159910702555498,5.184989823287196,432000
2011-11-29,5.222607612609863,5.2476861368825,5.19961881588015,5.220517885066939,327300
2011-11-30,5.416965961456299,5.416965961456299,5.343819527210787,5.3563590867726205,568200
2011-12-01,5.4086079597473145,5.437865943669683,5.396068396695388,5.437865943669683,305100
2011-12-02,5.396067142486572,5.559077836757359,5.391887687720212,5.559077836757359,883200
2011-12-05,5.435773849487305,5.488020610981176,5.406515280382568,5.469211872510425,682500
2011-12-06,5.452493190765381,5.4796614366350465,5.421144892805509,5.460852697026744,422700
2011-12-07,5.471302032470703,5.494290224166918,5.412784896025072,5.450402371832696,598800
2011-12-08,5.381435871124268,5.4587617349874735,5.370986640141291,5.456671410455745,639300
2011-12-09,5.454582214355469,5.465032044273712,5.40024513170512,5.408605234807304,365700
2011-12-12,5.383528232574463,5.427415497643336,5.3417306949090735,5.427415497643336,437700
2011-12-13,5.345911026000977,5.427416387288375,5.329192008194292,5.4106973694816904,375300
2011-12-14,5.304111480712891,5.3479987364208545,5.289482794089579,5.345909009463098,382200
2011-12-15,5.327098846435547,5.38143532032068,5.320829069319923,5.354267083378113,653100
2011-12-16,5.329188823699951,5.494289175363894,5.276942073754285,5.377256120651028,321300
2011-12-19,5.291810989379883,5.407306909446009,5.277111978355388,5.396807444201831,351600
2011-12-20,5.424106121063232,5.430406040326055,5.354808811552286,5.377908114987058,588900
2011-12-21,5.445107460021973,5.449307007062966,5.396809064289142,5.434607991625922,362700
2011-12-22,5.470305919647217,5.472406293721306,5.447206611180226,5.470305919647217,742800
2011-12-23,5.518604755401611,5.518604755401611,5.47030636128771,5.487105750475715,595800
2011-12-27,5.535402774810791,5.552201559048257,5.516503616849417,5.520703162710434,963900
2011-12-28,5.47660493850708,5.5417033137692115,5.468205845846314,5.5417033137692115,659700
2011-12-29,5.529103755950928,5.531203529223502,5.4913054338706,5.4913054338706,328800
2011-12-30,5.4976043701171875,5.5291027659464005,5.4976043701171875,5.5291027659464005,465000
2012-01-03,5.548003196716309,5.587901289760269,5.548003196716308,5.579501596362572,751200
2012-01-04,5.548003196716309,5.560602436416121,5.514403822332061,5.539602902525149,505200
2012-01-05,5.543804168701172,5.548004316644599,5.489205850198117,5.533304099239395,542700
2012-01-06,5.518604755401611,5.5480039868773945,5.506004913113833,5.5480039868773945,459900
2012-01-09,5.531203269958496,5.537503190274419,5.503904416314121,5.5270031228167245,720300
2012-01-10,5.569002628326416,5.581601869154057,5.562702707515837,5.581601869154057,417300
2012-01-11,5.548003196716309,5.552202142224963,5.529103435976395,5.550102969867367,812700
2012-01-12,5.552202224731445,5.558502145071701,5.518604051434849,5.548003279160394,411900
2012-01-13,5.522804260253906,5.531203353076727,5.49130525899442,5.522804260253906,636600
2012-01-17,5.554304122924805,5.5858031324766,5.550104575407838,5.566903967062977,610800
2012-01-18,5.602600574493408,5.606800120548983,5.554302190093736,5.558501736149311,535200
2012-01-19,5.625699996948242,5.625699996948242,5.5921012246325486,5.625699996948242,1591800
2012-01-20,5.6361985206604,5.6382982933806645,5.6130992183574735,5.634098147146797,2645700
2012-01-23,5.6361985206604,5.652997904009194,5.6151989910777385,5.644598212334797,1037400
2012-01-24,5.6299028396606445,5.632002012943726,5.602603373487212,5.613102844664986,1145700
2012-01-25,5.663496017456055,5.667696162688037,5.585799038199746,5.610998107212051,892500
2012-01-26,5.6424994468688965,5.690797232023413,5.631999379806507,5.6886974589283135,784800
2012-01-27,5.617300987243652,5.632000001324901,5.600501599042071,5.621500533897291,846600
2012-01-30,5.598401069641113,5.598401069641113,5.556402004015697,5.579501309871647,986700
2012-01-31,5.587899684906006,5.62779836728446,5.564800384498134,5.62779836728446,753900
2012-02-01,5.623599052429199,5.64879812641677,5.619398906367947,5.621498679001916,860100
2012-02-02,5.625699996948242,5.640399009241278,5.615199930004509,5.640399009241278,948600
2012-02-03,5.684499263763428,5.690799186005301,5.66560009783146,5.6781999423152065,483000
2012-02-06,5.680299758911133,5.6823995325209316,5.657199846028971,5.667699915665152,773700
2012-02-07,5.690797328948975,5.699197623059338,5.646699089233576,5.673998543108617,821100
2012-02-08,5.690797328948975,5.699197623059338,5.667698622922573,5.694997476004157,575100
2012-02-09,5.688697338104248,5.707597097939063,5.66559803216843,5.707597097939063,502800
2012-02-10,5.657198429107666,5.657198429107666,5.634099122804629,5.652998882939901,684900
2012-02-13,5.682398796081543,5.692898263563399,5.659298886193132,5.692898263563399,581700
2012-02-14,5.682398796081543,5.682398796081543,5.646699645373608,5.676098875275024,362400
2012-02-15,5.652997970581055,5.703396121220944,5.64459827880774,5.703396121220944,446400
2012-02-16,5.6991963386535645,5.705496257419821,5.663497199506994,5.676097037039506,420900
2012-02-17,5.734895706176758,5.739095252099232,5.713896174184163,5.732795933215521,512100
2012-02-21,5.718097686767578,5.760096159991429,5.707598218660004,5.753796238809463,960600
2012-02-22,5.70969820022583,5.726498192688987,5.697098956870508,5.7180984968542266,369300
2012-02-23,5.7327961921691895,5.736995738281359,5.694997273192484,5.711796659228034,706800
2012-02-24,5.747496604919434,5.755896900777649,5.7390969098548,5.749596979280779,280500
2012-02-27,5.74959659576416,5.768495758200556,5.711797670097829,5.726497285678821,438600
2012-02-28,5.76849365234375,5.772693197666059,5.745394350691083,5.757994188244655,314700
2012-02-29,5.747496604919434,5.785295533107076,5.741196683422563,5.785295533107076,347700
2012-03-01,5.762196063995361,5.781095827969427,5.741196526510921,5.764295837505736,420000
2012-03-02,5.74959659576416,5.76219583712391,5.732797206755467,5.76219583712391,352500
2012-03-05,5.743293762207031,5.747493306932804,5.718094691472685,5.745393534569917,985200
2012-03-06,5.67609977722168,5.697098715522176,5.663499933606493,5.697098715522176,910200
2012-03-07,5.705499172210693,5.709698118877795,5.676099936811075,5.688699179986892,368700
2012-03-08,5.74119234085083,5.749592630355163,5.720193419469379,5.732793252932752,338400
2012-03-09,5.753795146942139,5.768494759979406,5.741195306969213,5.751695373877797,334200
2012-03-12,5.778995037078857,5.783195184590398,5.753795954390178,5.7579961019017185,548100
2012-03-13,5.846192836761475,5.846192836761475,5.793694895817444,5.80419436384754,443100
2012-03-14,5.833592891693115,5.854591825220623,5.823092824135887,5.8440923584568685,391200
2012-03-15,5.850388526916504,5.852488298763953,5.827289234215287,5.839889066886165,633300
2012-03-16,5.850388526916504,5.873487218824631,5.850388526916504,5.873487218824631,390900
2012-03-19,5.862631320953369,5.871072222691232,5.833085749734442,5.8499687607783715,415800
2012-03-20,5.843637466430664,5.852078971932029,5.824644229998618,5.8351965647133985,301800
2012-03-21,5.835197448730469,5.849969632757729,5.822534886668026,5.847859407008719,342600
2012-03-22,5.807762622833252,5.811983678496287,5.788769381810209,5.805652396893858,342000
2012-03-23,5.820424556732178,5.822535386446563,5.788769356427324,5.818314330802036,196200
2012-03-26,5.887959003448486,5.887959003448486,5.852082132851228,5.852082132851228,566700
2012-03-27,5.883734226226807,5.898507010438669,5.883734226226807,5.898507010438669,393300
2012-03-28,5.856301307678223,5.88373605561316,5.830976785634227,5.881625829722219,340800
2012-03-29,5.866852760314941,5.866852760314941,5.80565138842945,5.828865681083114,360600
2012-03-30,5.885847568511963,5.896398699191437,5.871074174207793,5.890068020783753,268500
2012-04-02,5.923833847045898,5.934385581140871,5.87951608081959,5.885847362790286,280800
2012-04-03,5.896396160125732,5.961818576225435,5.862630745138342,5.915389998522695,372900
2012-04-04,5.864743232727051,5.866854062552563,5.843639160961857,5.852080668911079,387600
2012-04-05,5.856301307678223,5.860522363244338,5.835197841200342,5.841529122657399,321600
2012-04-09,5.795100212097168,5.811983831409269,5.78665930811751,5.801431493866174,393300
2012-04-10,5.712795734405518,5.782438630854791,5.7085758859237234,5.782438630854791,464700
2012-04-11,5.748671531677246,5.767664770921572,5.740230024925969,5.7655545451798,557400
2012-04-12,5.803542137145996,5.805652363073098,5.748672036551661,5.7528930921901065,236400
2012-04-13,5.7592244148254395,5.801431348805422,5.757113585099043,5.7929898412525755,333600
2012-04-16,5.784548282623291,5.803541521520934,5.76555443994147,5.778217001729351,460200
