Date,Close,High,Low,Open,Volume
2000-01-03,0.8377243876457214,0.8419338294744418,0.761014734394576,0.7848697035881937,535796800
2000-01-04,0.7670955061912537,0.8279012711742517,0.7572727466945236,0.8101274082293847,512377600
2000-01-05,0.778320848941803,0.8274338661548442,0.7708374692463978,0.7764499915279163,778321600
2000-01-06,0.7109658122062683,0.8007722104382224,0.7109658122062683,0.7942242383638947,767972800
2000-01-07,0.7446438074111938,0.7558697488561912,0.7147086463463203,0.7221920244414605,460734400
2000-01-10,0.7315470576286316,0.7652239326620371,0.7090952746983015,0.7633530756515028,505064000
2000-01-11,0.6941276788711548,0.7437084129281535,0.6772892661002036,0.7179826423614357,441548800
2000-01-12,0.6524988412857056,0.7147085917421134,0.6473531480586522,0.7109660286781906,976068800
2000-01-13,0.7240628600120544,0.7390304661140493,0.6922568406806966,0.7071070904310869,1032684800
2000-01-14,0.7516595721244812,0.7652239985506637,0.7437084666151885,0.7483855845641763,390376000
2000-01-18,0.7778528332710266,0.7932889614669302,0.7516593420807328,0.7558695812805398,459177600
2000-01-19,0.7974984645843506,0.8138691990623447,0.7736435032855291,0.79048196446973,597643200
2000-01-20,0.849417507648468,0.9092878059749172,0.849417507648468,0.8643850572500249,1831132800
2000-01-21,0.8330472111701965,0.8550305219938028,0.824627578694247,0.8550305219938028,495924800
2000-01-24,0.7951600551605225,0.843804489525389,0.786740373612308,0.8115307422351401,440876800
2000-01-25,0.8400626182556152,0.8466114913834951,0.7661601022964926,0.7858048231953756,497145600
2000-01-26,0.8246275782585144,0.8545627947136741,0.8213536403406146,0.8232244477336603,367158400
2000-01-27,0.8232242465019226,0.8456760780162781,0.8007724649476947,0.8143368893745465,340144000
2000-01-28,0.7605469822883606,0.8297724539040824,0.753063602561464,0.8096600496682206,423348800
2000-01-31,0.7764498591423035,0.7773853126698215,0.7072244495810509,0.7558697816166402,701680000
2000-02-01,0.7502562403678894,0.7858048176209244,0.7483854335339462,0.778320591082655,318035200
2000-02-02,0.7394980788230896,0.7642884427030653,0.7259336051387372,0.7539988052489827,464195200
2000-02-03,0.7731759548187256,0.780192456097469,0.7502563931695573,0.7507241199533655,475193600
2000-02-04,0.8082568049430847,0.8232243616452984,0.7755144815398566,0.7778530654768168,425320000
2000-02-07,0.8536271452903748,0.8550303254535702,0.7928213725885681,0.8082567041046165,441067200
2000-02-08,0.8597082495689392,0.8690623838463876,0.832579301727407,0.8531593763562594,408643200
2000-02-09,0.8428691029548645,0.8765468326216084,0.8414660224258554,0.8540950461505381,299364800
2000-02-10,0.849417507648468,0.8522237670734136,0.8232239711050231,0.844740341993411,302982400
2000-02-11,0.8138689994812012,0.8540946354335526,0.8101272866693632,0.8503529226217146,212251200
2000-02-14,0.8667240142822266,0.8671917410686546,0.8129338850788138,0.8180787298491159,367539200
2000-02-15,0.8905791640281677,0.8975956667986725,0.8620471247078485,0.8625148515910991,485744000
